"Section","Biological.Sex","GPA","Miss_Class","Seating","Monthly_Parties","Drinking_Days","Weekly_Study","Book_Cost","Book_Cost_Log10","Book_Cost_Sqrt","More_than_3_Missing_Days"
"Section 14","Female",2.65,0,"Front",8,6,25,330,2.51851393987789,18.1659021245849,0
"Section 14","Male",3.51,0,"Middle",8,8,10,450,2.65321251377534,21.2132034355964,0
"Section 14","Female",3.4,0,"Middle",8,8,10,250,2.39794000867204,15.8113883008419,0
"Section 15","Male",2.2,2,"Middle",8,20,6,320,2.50514997831991,17.8885438199983,0
"Section 15","Male",2.6,2,"Middle",8,8,8,300,2.47712125471966,17.3205080756888,0
"Section 15","Male",2.1,1,"Front",8,30,20,600,2.77815125038364,24.4948974278318,0
"Section 15","Female",3.27,1,"Middle",8,10,15,360,2.55630250076729,18.9736659610103,0
"Section 15","Female",4,0,"Middle",8,8,20,450,2.65321251377534,21.2132034355964,0
"Section 16","Male",3.77,3,"Back",8,8,14,500,2.69897000433602,22.3606797749979,0
"Section 16","Female",3.3,2,"Middle",8,8,10,350,2.54406804435028,18.7082869338697,0
"Section 16","Female",3.25,1,"Front",8,8,10,450,2.65321251377534,21.2132034355964,0
"Section 16","Female",2.2,1,"Middle",8,10,20,300,2.47712125471966,17.3205080756888,0
"Section 16","Male",3.55,0,"Middle",8,8,10,335,2.52504480703685,18.3030052177231,0
"Section 16","Male",3,0,"Middle",8,8,14,300,2.47712125471966,17.3205080756888,0
"Section 14","Male",2.9,1,"Front",9,10,3,300,2.47712125471966,17.3205080756888,0
"Section 15","Female",3.88,0,"Middle",9,9,8,300,2.47712125471966,17.3205080756888,0
"Section 13","Male",2.9,2,"Middle",10,12,6,100,2,10,0
"Section 13","Male",3.2,1,"Middle",10,15,9,300,2.47712125471966,17.3205080756888,0
"Section 13","Male",2.98,1,"Middle",10,14,10,250,2.39794000867204,15.8113883008419,0
"Section 13","Male",3.33,0,"Front",10,8,12,300,2.47712125471966,17.3205080756888,0
"Section 13","Female",3.81,0,"Middle",10,12,10,500,2.69897000433602,22.3606797749979,0
"Section 13","Female",3.7,0,"Middle",10,10,15,450,2.65321251377534,21.2132034355964,0
"Section 13","Female",3.31,0,"Middle",10,1,30,400,2.60205999132796,20,0
"Section 13","Male",2.8,0,"Middle",10,12,5,350,2.54406804435028,18.7082869338697,0
"Section 14","Male",2.55,5,"Back",10,12,4,350,2.54406804435028,18.7082869338697,1
"Section 14","Male",3.42,0,"Middle",10,12,15,320,2.50514997831991,17.8885438199983,0
"Section 15","Male",3.5,2,"Back",10,12,10,450,2.65321251377534,21.2132034355964,0
"Section 15","Female",3.94,2,"Back",10,10,3,300,2.47712125471966,17.3205080756888,0
